PRODUCT_ID,NAME         ,DESCRIPTION,PRICE
1         ,Ford         ,Crimson    ,18
2         ,Toyota       ,Pink       ,17
3         ,Kia          ,Indigo     ,15
4         ,Mercedes-Benz,Green      ,57
5         ,Saab         ,Crimson    ,43
6         ,Dodge        ,Aquamarine ,76
7         ,Toyota       ,Aquamarine ,6
8         ,Oldsmobile   ,Indigo     ,34
9         ,Buick        ,Turquoise  ,45
10        ,Nissan       ,Violet     ,36
11        ,Acura        ,Puce       ,21
12        ,Volkswagen   ,Turquoise  ,91
13        ,Plymouth     ,Crimson    ,27
14        ,Ford         ,Indigo     ,66
15        ,Chrysler     ,Goldenrod  ,19
16        ,Mitsubishi   ,Aquamarine ,84
17        ,Chevrolet    ,Orange     ,78
18        ,Chevrolet    ,Purple     ,81
19        ,Cadillac     ,Indigo     ,98
20        ,Toyota       ,Violet     ,28
21        ,Lexus        ,Mauv       ,54
22        ,Dodge        ,Aquamarine ,53
23        ,Mazda        ,Indigo     ,5
24        ,Ford         ,Puce       ,29
25        ,Nissan       ,Blue       ,62
26        ,Ford         ,Violet     ,85
27        ,GMC          ,Crimson    ,34
28        ,BMW          ,Crimson    ,38
29        ,Aston Martin ,Mauv       ,33
30        ,Pontiac      ,Purple     ,23
31        ,Dodge        ,Turquoise  ,42
32        ,Dodge        ,Blue       ,97
33        ,Mitsubishi   ,Purple     ,93
34        ,Honda        ,Crimson    ,4
35        ,Aston Martin ,Pink       ,59
36        ,Mazda        ,Violet     ,96
37        ,Porsche      ,Red        ,12
38        ,Hyundai      ,Indigo     ,20
39        ,Buick        ,Crimson    ,61
40        ,Suzuki       ,Violet     ,26
41        ,Chevrolet    ,Green      ,73
42        ,Cadillac     ,Khaki      ,51
43        ,Volkswagen   ,Blue       ,100
44        ,Nissan       ,Maroon     ,24
45        ,Toyota       ,Purple     ,68
46        ,Jeep         ,Crimson    ,3
47        ,Dodge        ,Crimson    ,7
48        ,Chevrolet    ,Turquoise  ,84
49        ,Land Rover   ,Fuscia     ,23
50        ,BMW          ,Goldenrod  ,5
51        ,Buick        ,Orange     ,80
52        ,Lotus        ,Purple     ,86
53        ,Volkswagen   ,Orange     ,11
54        ,Mitsubishi   ,Turquoise  ,8
55        ,Land Rover   ,Yellow     ,99
56        ,Volkswagen   ,Orange     ,42
57        ,Lexus        ,Fuscia     ,52
58        ,Chevrolet    ,Yellow     ,17
59        ,Buick        ,Pink       ,36
60        ,Chevrolet    ,Goldenrod  ,70
61        ,Suzuki       ,Fuscia     ,97
