ucn|statementNumber|totalCommissionExclVat|totalCommissionInclVat|withholdingTax|totalVat
1  |4893734431     |1.45                  |7.20                  |7.19          |7.74
2  |8243964002     |1.91                  |0.96                  |5.96          |4.08
3  |7596895174     |2.72                  |0.34                  |3.91          |9.69
4  |3092338103     |7.89                  |3.36                  |5.23          |5.63
5  |2539664083     |4.36                  |8.52                  |8.74          |6.68
6  |3868604367     |2.26                  |6.79                  |5.78          |8.11
7  |3948165181     |2.06                  |3.85                  |6.24          |4.88
8  |0118913670     |7.01                  |4.89                  |0.12          |3.30
9  |5803338397     |8.37                  |3.98                  |9.84          |0.16
10 |3923500572     |9.88                  |8.24                  |4.04          |3.01
11 |0537299327     |9.37                  |5.81                  |4.47          |2.08
12 |0486304043     |3.64                  |4.49                  |8.92          |7.00
13 |2109523778     |0.87                  |9.40                  |4.30          |7.20
14 |8454396292     |3.77                  |4.70                  |8.06          |8.20
15 |3655345755     |7.64                  |7.75                  |3.86          |1.96
16 |6857204233     |0.63                  |0.71                  |9.63          |2.30
17 |7270841217     |3.77                  |9.63                  |1.76          |4.86
18 |7510278643     |2.25                  |2.89                  |9.03          |5.83
19 |8169815606     |9.12                  |3.69                  |1.46          |8.73
20 |0321992806     |5.74                  |3.13                  |4.63          |6.91
